MeasureItem,Month,Year,Category,Country,MeasureItemID,CreationDate,Representativity,ProvidedValue,ProvidedValueCode
Monthly Domestic Values,1,2023,Biomass,AT,B01,01/03/2024 11:51,100,182.084,
Monthly Domestic Values,1,2023,Consumption of Hydro Pumped Storage,AT,(B10),01/03/2024 12:01,100,243.7712,
Monthly Domestic Values,1,2023,Fossil Gas,AT,B04,01/03/2024 11:51,100,1041.278,
Monthly Domestic Values,1,2023,Fossil Hard coal,AT,B05,01/03/2024 11:51,100,0,
Monthly Domestic Values,1,2023,Fossil Oil,AT,B06,01/03/2024 11:51,100,0,
Monthly Domestic Values,1,2023,Geothermal,AT,B09,01/03/2024 11:51,100,0.05208,
Monthly Domestic Values,1,2023,Hydro Pumped Storage,AT,B10,01/03/2024 11:51,100,549.3748,
Monthly Domestic Values,1,2023,Hydro Run-of-river and poundage,AT,B11,01/03/2024 11:51,100,1615.8762,
Monthly Domestic Values,1,2023,Hydro Water Reservoir,AT,B12,01/03/2024 11:51,100,239.8899,
Monthly Domestic Values,1,2023,Other,AT,B20,01/03/2024 11:51,100,16.368,
Monthly Domestic Values,1,2023,Other renewable,AT,B15,01/03/2024 11:51,100,0,
Monthly Domestic Values,1,2023,Solar,AT,B16,01/03/2024 11:51,100,23.582,
Monthly Domestic Values,1,2023,Waste,AT,B17,01/03/2024 11:51,100,74.4,
Monthly Domestic Values,1,2023,Wind Onshore,AT,B19,01/03/2024 11:51,100,877.812,
Monthly Domestic Values,2,2023,Biomass,AT,B01,01/03/2024 11:51,100,172.449,
Monthly Domestic Values,2,2023,Consumption of Hydro Pumped Storage,AT,(B10),01/03/2024 12:01,100,192.282,
Monthly Domestic Values,2,2023,Fossil Gas,AT,B04,01/03/2024 11:51,100,1085.5267,
Monthly Domestic Values,2,2023,Fossil Hard coal,AT,B05,01/03/2024 11:51,100,0,
Monthly Domestic Values,2,2023,Fossil Oil,AT,B06,01/03/2024 11:51,100,0,
Monthly Domestic Values,2,2023,Geothermal,AT,B09,01/03/2024 11:51,100,0.04704,
Monthly Domestic Values,2,2023,Hydro Pumped Storage,AT,B10,01/03/2024 11:51,100,396.1605,
