MeasureItem,Month,Year,Category,Country,MeasureItemID,CreationDate,Representativity,ProvidedValue,ProvidedValueCode
Monthly Domestic Values,1,2024,Solar,BG,B16,09/09/2024 16:26,100,189.45964,
Monthly Domestic Values,1,2024,Nuclear,FI,B14,09/09/2024 16:26,100,3235.94665,
Monthly Domestic Values,3,2024,Other,SE,B20,09/09/2024 16:26,100,813.37734,
Monthly Domestic Values,6,2024,Wind Onshore,IT,B19,09/09/2024 16:26,100,1316.301,
Monthly Domestic Values,4,2024,Biomass,BG,B01,09/09/2024 16:26,100,14.97101,
Monthly Domestic Values,5,2024,Hydro Pumped Storage,SK,B10,09/09/2024 16:26,100,51.0467,
Monthly Domestic Values,5,2024,Fossil Hard coal,IT,B05,09/09/2024 16:26,100,245.086,
Monthly Domestic Values,2,2024,Waste,IT,B17,09/09/2024 16:26,100,202.85,
Monthly Domestic Values,5,2024,Fossil Gas,HR,B04,09/09/2024 16:26,100,188.6242,
Monthly Domestic Values,1,2024,Hydro Water Reservoir,CH,B12,09/09/2024 16:26,100,1244.63679,
Monthly Domestic Values,2,2024,Solar,AT,B16,09/09/2024 16:26,100,194.076,
Monthly Domestic Values,3,2024,Hydro Water Reservoir,HR,B12,09/09/2024 16:26,100,491.2693,
Monthly Domestic Values,3,2024,Other,LV,B20,09/09/2024 16:26,100,0,
Monthly Domestic Values,4,2024,Hydro Run-of-river and poundage,BE,B11,09/09/2024 16:26,100,26.55092,
Monthly Domestic Values,1,2024,Other renewable,HU,B15,09/09/2024 16:26,100,3.34288,
Monthly Domestic Values,2,2024,Wind Onshore,LT,B19,09/09/2024 16:26,100,301.23494,
Monthly Domestic Values,2,2024,Fossil Brown coal/Lignite,MK,B02,09/09/2024 16:26,100,247.48958,
Monthly Domestic Values,3,2024,Fossil Brown coal/Lignite,BA,B02,09/09/2024 16:26,100,602.76144,
Monthly Domestic Values,5,2024,Wind Offshore,ES,B18,09/09/2024 16:26,100,0,
Monthly Domestic Values,6,2024,Solar,FR,B16,09/09/2024 16:26,100,2700.024,
Monthly Domestic Values,6,2024,Wind Onshore,EE,B19,09/09/2024 16:26,100,46.7878,
Monthly Domestic Values,2,2024,Biomass,RS,B01,09/09/2024 16:26,100,20.88,
Monthly Domestic Values,4,2024,Hydro Pumped Storage,IT,B10,09/09/2024 16:26,100,469.572,
Monthly Domestic Values,3,2024,Nuclear,SK,B14,09/09/2024 16:26,100,1783.6638,
Monthly Domestic Values,4,2024,Fossil Oil,SK,B06,09/09/2024 16:26,100,30.3198,
Monthly Domestic Values,3,2024,Fossil Oil,CZ,B06,09/09/2024 16:26,100,1.01297,
Monthly Domestic Values,1,2024,Fossil Gas,SI,B04,09/09/2024 16:26,100,38.92781,
Monthly Domestic Values,1,2024,Hydro Water Reservoir,HU,B12,09/09/2024 16:26,100,0.0544075,
Monthly Domestic Values,2,2024,Solar,RO,B16,09/09/2024 16:26,100,105.17213,
Monthly Domestic Values,5,2024,Fossil Oil shale,ES,B07,09/09/2024 16:26,100,0,
Monthly Domestic Values,2,2024,Fossil Brown coal/Lignite,DE,B02,09/09/2024 16:26,100,6013.98916,
Monthly Domestic Values,3,2024,Hydro Pumped Storage,PL,B10,09/09/2024 16:26,100,143.5918,
Monthly Domestic Values,6,2024,Waste,DK,B17,09/09/2024 16:26,100,59.64279,
Monthly Domestic Values,4,2024,Fossil Gas,NL,B04,09/09/2024 16:26,100,1708.817048,
Monthly Domestic Values,3,2024,Hydro Water Reservoir,FR,B12,09/09/2024 16:26,100,1958.723,
Monthly Domestic Values,3,2024,Solar,LT,B16,09/09/2024 16:26,100,93.35124,
Monthly Domestic Values,1,2024,Solar,HR,B16,09/09/2024 16:26,100,6.8538,
Monthly Domestic Values,1,2024,Waste,AT,B17,09/09/2024 16:26,100,74.4,
