MeasureItem	Month	Year	Category	Country	MeasureItemID	CreationDate	Representativity	ProvidedValue	ProvidedValueCode
Monthly Domestic Values	3	2020	Wind Offshore	DE	B18	2024-05-29 12:21:54	100	2629.5520100	
Monthly Domestic Values	5	2020	Fossil Gas	RO	B04	2024-05-29 12:21:54	100	477.0239900	
Monthly Domestic Values	11	2020	Fossil Gas	HU	B04	2024-05-29 12:21:54	100	909.5372400	
Monthly Domestic Values	3	2020	Hydro Water Reservoir	HU	B12	2024-05-29 12:21:54	100	4.9667825	
Monthly Domestic Values	4	2020	Hydro Water Reservoir	BG	B12	2024-05-29 12:21:54	100	277.1090000	
Monthly Domestic Values	4	2020	Solar	GB	B16	2024-05-29 12:21:54	100	1503.7435000	
Monthly Domestic Values	7	2020	Hydro Run-of-river and poundage	PT	B11	2024-05-29 12:21:54	100	196.3011000	
Monthly Domestic Values	11	2020	Biomass	RO	B01	2024-05-29 12:21:54	100	48.0416100	
Monthly Domestic Values	7	2020	Fossil Hard coal	ES	B05	2024-05-29 12:21:54	100	325.8310000	
Monthly Domestic Values	9	2020	Wind Onshore	ES	B19	2024-05-29 12:21:54	100	3890.5440000	
Monthly Domestic Values	8	2020	Solar	PT	B16	2024-05-29 12:21:54	100	149.0350000	
Monthly Domestic Values	7	2020	Solar	CH	B16	2024-05-29 12:21:54	100	364.5434300	
Monthly Domestic Values	11	2020	Geothermal	IT	B09	2024-05-29 12:21:54	100	462.4570000	
Monthly Domestic Values	8	2020	Other	NO	B20	2024-05-29 12:21:54	100	14.2691800	
Monthly Domestic Values	12	2020	Geothermal	ES	B09	2024-05-29 12:21:54	100	0.0000000	
Monthly Domestic Values	7	2020	Fossil Oil shale	ES	B07	2024-05-29 12:21:54	100	0.0000000	
Monthly Domestic Values	6	2020	Hydro Pumped Storage	IT	B10	2024-05-29 12:21:54	100	263.2430000	
Monthly Domestic Values	11	2020	Fossil Gas	MD	B04	2024-05-29 12:21:54	100	477.3950000	
Monthly Domestic Values	10	2020	Fossil Gas	IE	B04	2024-05-29 12:21:54	100	763.3976850	
Monthly Domestic Values	1	2020	Other	ES	B20	2024-05-29 12:21:54	100	26.9370000	
Monthly Domestic Values	10	2020	Other	CZ	B20	2024-05-29 12:21:54	100	66.6821700	
Monthly Domestic Values	11	2020	Biomass	NL	B01	2024-05-29 12:21:54	100	19.5101375	
Monthly Domestic Values	8	2020	Wind Onshore	EE	B19	2024-05-29 12:21:54	100	33.0597000	
Monthly Domestic Values	6	2020	Solar	NL	B16	2024-05-29 12:21:54	100	27.6837225	
